effect,pct,lo,hi,k,file
"2017 add-on (female baseline), k=3",9.59745424309641,4.57128237143141,14.8652068156061,3,PPML_exclusive_k3_additional2017.csv
"2017 add-on (male add-on), k=3",9.26736769513594,0.520315305227981,18.7755689660385,3,PPML_exclusive_k3_additional2017.csv
"2017 add-on (male total), k=3",19.7542533123125,11.4647585194474,28.6602274734881,3,PPML_exclusive_k3_additional2017.csv
"2017 add-on (female baseline), k=4",8.08286982908755,3.9793791529098,12.3483025736509,4,PPML_exclusive_k4_additional2017.csv
"2017 add-on (male add-on), k=4",7.15850913578424,-0.318203221910562,15.1960182436033,4,PPML_exclusive_k4_additional2017.csv
"2017 add-on (male total), k=4",15.8199919400206,8.45213891140419,23.6883907282336,4,PPML_exclusive_k4_additional2017.csv
"2017 add-on (female baseline), k=5",4.64243295766826,0.499334451864342,8.95633125356448,5,PPML_exclusive_k5_additional2017.csv
"2017 add-on (male add-on), k=5",8.89036947304629,2.39485435506208,15.7979337795733,5,PPML_exclusive_k5_additional2017.csv
"2017 add-on (male total), k=5",13.9455318731897,6.56749026558583,21.8343812123811,5,PPML_exclusive_k5_additional2017.csv
